"unique_storm_number","ant_discharge_date","ant_dis_1day_max","ant_dis_2day_mean","ant_dis_2day_max","ant_dis_3day_mean","ant_dis_3day_max","ant_dis_7day_mean","ant_dis_7day_max","ant_dis_14day_mean","ant_dis_14day_max"
2,2013-01-15 07:15:00,40,21,40,14.6666666666667,40,7.42857142857143,40,6.07142857142857,40
3,2013-02-23 15:45:00,48.5,33,48.5,25.3333333333333,48.5,14.7785714285714,48.5,12.0957142857143,48.5
4,2013-02-24 09:00:00,77.9,63.2,77.9,47.9666666666667,77.9,24.9071428571429,77.9,17.3035714285714,77.9
5,2013-02-25 08:00:00,91.3,84.6,91.3,72.5666666666667,91.3,37.0214285714286,91.3,23.4321428571429,91.3
6,2013-03-27 02:00:00,186,106.2,186,72.6866666666667,186,34.3257142857143,186,21.6242857142857,186
7,2013-04-04 02:15:00,113,73.1,113,62,113,82.2,181,73.4764285714286,219
8,2013-04-10 02:45:00,89.3,64.5,89.3,60.1,89.3,112.6,317,104.971428571429,317
9,2013-05-14 22:45:00,18.3,10.32,18.3,7.73666666666667,18.3,5.23571428571429,18.3,4.47928571428571,18.3
10,2013-05-30 01:45:00,91.5,51.9,91.5,41.8666666666667,91.5,24.0385714285714,91.5,21.4585714285714,91.5
12,2014-03-05 13:15:00,20,14.67,20,11.3266666666667,20,7.50857142857143,20,5.27785714285714,20
13,2014-03-14 06:45:00,88.3,55.95,88.3,46.2,88.3,45.7571428571429,88.3,32.1371428571429,88.3
16,2014-04-23 19:00:00,31.5,21.7,31.5,19.4,31.5,22.6,31.5,18.1757142857143,33.6
23,2014-11-10 01:10:00,99.6,56.4,99.6,38.11,99.6,16.9157142857143,99.6,9.14714285714286,99.6
24,2014-12-10 16:45:00,47.2,25.59,47.2,18.1566666666667,47.2,10.1357142857143,47.2,6.98142857142857,47.2
25,2015-02-23 12:30:00,6.1,4.95,6.1,4.1,6.1,2.82857142857143,6.1,2.27857142857143,6.1
26,2015-05-31 08:00:00,67.3,35.955,67.3,26.0833333333333,67.3,13.3942857142857,67.3,7.82285714285714,67.3
27,2015-06-01 20:00:00,98.6,82.95,98.6,56.8366666666667,98.6,26.5,98.6,14.5857142857143,98.6
28,2015-06-08 23:30:00,11.3,10.85,11.3,12.0333333333333,14.4,66.6428571428571,315,46.5714285714286,315
29,2015-08-25 06:45:00,48.8,27.905,48.8,18.86,48.8,8.60142857142857,48.8,4.68214285714286,48.8
30,2016-01-20 07:45:00,52.7,33.9,52.7,30.6333333333333,52.7,16.1142857142857,52.7,10.2821428571429,52.7
31,2016-02-14 16:00:00,61.2,35.055,61.2,26.05,61.2,16.4085714285714,61.2,14.0692857142857,61.2
32,2016-02-22 15:45:00,49.8,33.7,49.8,29.0666666666667,49.8,34.9142857142857,65.9,37.6828571428571,180
33,2016-02-28 22:45:00,32.8,31,32.8,32.5,35.5,54.5714285714286,122,54.0428571428571,180
34,2016-03-10 12:30:00,97.5,56,97.5,42.0333333333333,97.5,28.5285714285714,97.5,32.5071428571429,97.5
35,2016-03-14 04:30:00,145,88.85,145,73.7666666666667,145,62.0714285714286,145,43.2357142857143,145
36,2016-03-17 09:00:00,94.6,70.4,94.6,73.3333333333333,94.6,75.4857142857143,145,52.0071428571429,145
37,2016-03-28 01:00:00,135,83,135,64.4333333333333,135,47.4428571428571,135,56.5428571428571,135
38,2016-11-15 03:45:00,37.2,23.325,37.2,19.0166666666667,37.2,15.2014285714286,37.2,8.98428571428571,37.2
39,2016-12-12 11:30:00,113,62.5,113,43.0333333333333,113,20,113,11.3785714285714,113
40,2016-12-20 04:00:00,68,37.74,68,28.0366666666667,68,22.4157142857143,68,27.1078571428571,113
41,2016-12-27 18:15:00,5.36,4.48,5.36,4.25333333333333,5.36,10.7657142857143,36.2,16.5907142857143,68
42,2016-12-28 17:30:00,26.9,16.13,26.9,11.9533333333333,26.9,9.43714285714286,26.9,16.505,68
45,2017-01-24 22:00:00,42.1,24.345,42.1,18.65,42.1,13.3971428571429,42.1,20.3128571428571,44.3
46,2017-01-29 12:45:00,32.6,24.4,32.6,24.8333333333333,32.6,32.6557142857143,74.1,21.7128571428571,74.1
49,2017-02-10 21:15:00,27,20.65,27,18.8666666666667,27,18.2285714285714,27,19.8,32.6
50,2017-02-14 23:00:00,23.1,24.85,26.6,29.4666666666667,38.7,37.2857142857143,116,27.2714285714286,116
53,2017-03-12 11:30:00,94.4,89.4,94.4,62.93,94.4,33.4328571428571,94.4,20.655,94.4
54,2017-03-16 08:15:00,147,88.25,147,72.7666666666667,147,69.1842857142857,147,39.5971428571429,147
55,2017-03-20 21:30:00,40.4,45.05,49.7,56.4666666666667,79.3,78.3857142857143,161,60.4664285714286,161
56,2017-03-22 18:25:00,81.7,108.35,135,85.7,135,99.1571428571429,161,74.2857142857143,161
57,2017-04-16 23:15:00,17.7,12.1,17.7,10.6133333333333,17.7,10.1442857142857,17.7,12.8364285714286,24.6
58,2017-04-20 17:30:00,40.1,38.2,40.1,48.5,69.1,45.0485714285714,138,29.2221428571429,138
