"response","response_clean","before_r2","after_r2","perc_diff","sd_perc_diff","median_diff","fifth_diff","ninetyfifth_diff","diff_sum","load_before","load_after","pval","perc_diff_frozen","sd_perc_diff_frozen","perc_diff_nonfrozen","sd_perc_diff_nonfrozen"
"suspended_sediment_mg_L","SS (mg/L)",42.3,22.9,25.7,38.8,35.3,-42.2,74.1,25.8,6408,4757,0,9.5,10.9,8.7,11.5
"chloride_mg_L","Chloride (mg/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"no2_no3_n_mg_L","NO2 + NO3 (mg/L)",-27.9,33.7,65.5,35.2,76.7,10.6,96.6,51.8,66,32,0,-188.3,1527.8,124.1,1833.8
"ammonium_n_mg_L","Ammonium (mg/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tkn_unfiltered_mg_L","TKN (mg/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"orthophosphate_mg_L","Orthophosphate (mg/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total_phosphorus_unfiltered_mg_L","TP (mg/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total_nitrogen_computed_mg_L","TN  (mg/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"organic_nitrogen_computed_mg_L","Org N (mg/L)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"suspended_sediment_load_pounds","SS load (pounds)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chloride_load_pounds","Chloride load (pounds)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"no2_no3_n_load_pounds","NO2 + NO3 load (pounds)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ammonium_n_load_pounds","Ammonium load (pounds)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tkn_unfiltered_load_pounds","TKN load (pounds)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"orthophosphate_load_pounds","Orthophosphate load (pounds)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total_phosphorus_unfiltered_load_pounds","TP load (pounds)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"total_nitrogen_computed_load_pounds","TN load (pounds)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"organic_nitrogen_computed_load_pounds","Org N load (pounds)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
