"unique_storm_number","sub_storms","suspended_sediment_mg_L","chloride_mg_L","no2_no3_n_mg_L","ammonium_n_mg_L","tkn_unfiltered_mg_L","orthophosphate_mg_L","total_phosphorus_unfiltered_mg_L","total_nitrogen_computed_mg_L","organic_nitrogen_computed_mg_L","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3_n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","total_phosphorus_unfiltered_load_pounds","total_nitrogen_computed_load_pounds","organic_nitrogen_computed_load_pounds","sum_runoff","suspended_sediment_flag","chloride_flag","no2_no3_flag","ammonium_n_flag","tkn_unfiltered_flag","orthophosphate_flag","total_phosphorus_unfiltered_flag","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen"
2,"MI-FM1-2",165,5.7,2.3,0.13,2.19,0.095,0.472,4.5,2.1,1561.6,53.94,21.77,1.23,20.73,0.899,4.47,42.49,19.5,151598,"NA","NA","NA","NA","NA","NA","NA",2013-01-29 16:21:00,2013-01-31 08:09:00,2013-01-29 07:15:00,2013-01-31 12:15:00,2.29,151598,1
3,"MI-FM1-3",86,0.125,0.6,0.12,1.3,0.022,0.22,1.9,1.2,21.2,0.06,0.15,0.03,0.32,0.005,0.05,0.47,0.29,3956,"NA","<","NA","NA","NA","NA","NA",2013-03-09 16:04:00,2013-03-09 21:06:00,2013-03-09 15:45:00,2013-03-10 02:00:00,0.32,3956,1
4,"MI-FM1-4",49,1.2,1.1,0.08,1.45,0.025,0.233,2.6,1.4,33.9,0.83,0.76,0.06,1,0.017,0.16,1.76,0.95,11070,"NA","NA","NA","NA","NA","NA","NA",2013-03-10 13:39:00,2013-03-10 22:41:00,2013-03-10 10:00:00,2013-03-11 06:00:00,0.51,11070,1
5,"MI-FM1-5",208,1.6,2.3,0.09,2.51,0.031,0.516,4.8,2.4,409.7,3.15,4.53,0.18,4.94,0.061,1.02,9.47,4.77,31552,"NA","NA","NA","NA","NA","NA","NA",2013-03-11 10:22:00,2013-03-12 04:59:00,2013-03-11 09:00:00,2013-03-12 08:45:00,1.56,31552,1
6,"MI-FM1-6",149,10.7,3.1,0.04,1.83,0.057,0.434,4.9,1.8,7019.5,504.08,146.04,1.88,86.21,2.685,20.45,232.26,84.33,754636,"HT","NA","NA","NA","NA","NA","NA",2013-04-10 02:22:00,2013-04-13 23:46:00,2013-04-10 02:00:00,2013-04-14 05:45:00,3.82,754636,0
7,"MI-FM1-7",224,7.8,1,0.03,1.98,0.063,0.532,3,2,5656.6,196.97,25.25,0.76,50,1.591,13.43,75.25,49.24,404507,"HT","NA","NA","NA","NA","NA","NA",2013-04-18 03:16:00,2013-04-20 16:21:00,2013-04-18 02:15:00,2013-04-20 21:30:00,5.13,404507,0
8,"MI-FM1-8",269,1.8,0.5,0.04,1.93,0.038,0.562,2.4,1.9,72.8,0.49,0.14,0.01,0.52,0.01,0.15,0.66,0.51,4334,"HT","NA","NA","NA","NA","NA","NA",2013-04-24 04:43:00,2013-04-24 10:43:00,2013-04-24 02:45:00,2013-04-24 20:15:00,0.31,4334,0
9,"Est_2013.1,MI-FM1-9",516.417251763896,5.49380055067975,6.19301152985717,1.41839941490277,5.19413870246085,0.0839053175012907,1.11873756668388,11.387150232318,3.79571674410601,3746.8,39.86,44.93,10.29,37.69,0.609,8.12,82.62,27.39,116220,"HT","NA","NA","NA","NA","NA","NA",2013-05-29 00:28:00,2013-05-29 22:42:00,2013-05-28 22:45:00,2013-05-30 01:00:00,3.17,116089,0
10,"MI-FM1-10",147,3.3,37.9,0.45,2.1,0.045,0.346,40,1.7,202.4,4.54,52.19,0.62,2.89,0.062,0.48,55.08,2.27,22057,"NA","NA","NA","NA","NA","NA","NA",2013-06-13 02:18:00,2013-06-13 09:15:00,2013-06-13 01:45:00,2013-06-13 14:45:00,1.24,22057,0
12,"MI-FM1-11a,MI-FM1-11b,MI-FM1-11c",53.3284443836366,5.78105007524969,0.50602202763716,0.0114267683677658,0.877461417430565,0.0636823094814612,0.201384956902449,1.36919893282255,0.863176905185388,486.7,52.9,4.62,0.11,8,0.61,1.84,12.62,7.91,146180,"HT, HT, HT","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA","NA, NA, NA",2014-03-19 16:01:00,2014-03-22 21:20:00,2014-03-19 14:15:00,2014-03-23 01:45:00,2.34,146180,1
13,"MI-FM1-12,Est_2014.1",18.1209964412811,4.00569395017794,0.0476868327402135,0.00476868327402135,0.438718861209964,0.0286120996441281,0.0677153024911032,0.476868327402135,0.476868327402135,1.6,0.4,0.005,0.005,0.04,5e-04,0.01,0.04,0.04,1405,"HT","HT","HT","HT","HT","HT","HT",2014-03-28 07:51:00,2014-03-28 15:37:00,2014-03-28 06:45:00,2014-03-28 22:45:00,0.04,1340,1
16,"MI-FM1-13",295,8.4,0.1,0.02,2.24,0.05,0.676,2.3,2.2,1061.5,30.2,0.36,0.07,8.06,0.19,2.43,8.42,7.99,57640,"HT","NA","NA","NA","NA","NA","NA",2014-05-07 22:01:00,2014-05-08 12:53:00,2014-05-07 19:00:00,2014-05-09 05:45:00,1.78,57640,0
23,"MI-FM1-20",34,39.7,1.4,0.08,1.67,0.14,0.281,3.1,1.6,37.6,43.9,1.55,0.09,1.85,0.16,0.31,3.4,1.76,17723,"NA","NA","NA","NA","NA","NA","NA",2014-11-24 01:11:00,2014-11-24 14:48:00,2014-11-24 01:10:00,2014-11-25 01:15:00,0.61,17723,0
24,"MI-FM1-21",40,19.7,1,0.05,1.6,0.06,0.333,2.6,1.6,181.4,89.3,4.54,0.23,7.26,0.27,1.51,11.79,7.03,72649,"NA","NA","NA","NA","NA","NA","NA",2014-12-24 17:11:00,2014-12-25 11:11:00,2014-12-24 16:45:00,2014-12-26 17:15:00,2.12,72649,0
25,"MI-FM1-22a,MI-FM1-22b,MI-FM1-22c,MI-FM1-22d",7.27471000610513,4.08123776341551,0.244467484895055,0.271375023683712,1.02292283320351,0.0619178017304899,0.120525452095745,1.28478137302373,0.729018862760784,90.3,48.4,2.91,3.22,12.14,0.7,1.43,15.03,8.91,190004,"<, NA, NA, <","NA, NA, NA, NA","NA, NA, NA, NA","NA, NA, NA, NA","NA, NA, NA, NA","NA, NA, NA, NA","NA, NA, NA, NA",2015-03-11 03:30:00,2015-03-16 04:10:00,2015-03-09 13:30:00,2015-03-17 07:30:00,2.08,190004,1
26,"MI-FM1-23",187,46.6,61.9,1.71,2.47,0.11,0.481,64.4,0.8,398.1,99.2,131.79,3.64,5.26,0.23,1.02,137.05,1.62,34104,"NA","NA","NA","NA","NA","NA","NA",2015-06-14 04:05:00,2015-06-14 14:34:00,2015-06-14 08:00:00,2015-06-14 19:15:00,1.63,34104,0
