"responses","responses_clean_names"
"suspended_sediment_mg_L","SS (mg/L)"
"chloride_mg_L","Chloride (mg/L)"
"no2_no3_n_mg_L","NO2 + NO3 (mg/L)"
"ammonium_n_mg_L","Ammonium (mg/L)"
"tkn_unfiltered_mg_L","TKN (mg/L)"
"orthophosphate_mg_L","Orthophosphate (mg/L)"
"total_phosphorus_unfiltered_mg_L","TP (mg/L)"
"total_nitrogen_computed_mg_L","TN  (mg/L)"
"organic_nitrogen_computed_mg_L","Org N (mg/L)"
"suspended_sediment_load_pounds","SS load (pounds)"
"chloride_load_pounds","Chloride load (pounds)"
"no2_no3_n_load_pounds","NO2 + NO3 load (pounds)"
"ammonium_n_load_pounds","Ammonium load (pounds)"
"tkn_unfiltered_load_pounds","TKN load (pounds)"
"orthophosphate_load_pounds","Orthophosphate load (pounds)"
"total_phosphorus_unfiltered_load_pounds","TP load (pounds)"
"total_nitrogen_computed_load_pounds","TN load (pounds)"
"organic_nitrogen_computed_load_pounds","Org N load (pounds)"
"peak_discharge","Peak discharge (cfs)"
